year,flow.snk.bon,flow.lgr.bon,spillp.snk.bon,spillp.lgr.bon,wtt.snk.bon,wtt.lgr.bon
1998,3.95178970777174,4.24713396581522,0.325362231156981,0.335109902891211,17.0366578137104,15.0748246876072
1999,4.66334557155279,5.02878986755435,0.334397721448062,0.330027467442292,15.6103188951497,13.6266504334901
2000,3.46937113858696,3.76817704728261,0.34560247526647,0.358894711232125,19.5847329214177,16.7116170368909
2001,1.97314219085404,2.1349417473913,0.0264744542487086,0.03088686329016,38.0546222404586,32.3861277677065
2002,3.55174282923913,3.86762460711957,0.324628589853841,0.319744021092632,19.2521098707696,16.6570034644445
2003,3.25611818599379,3.51769420168478,0.318682604922286,0.324183880729983,19.7934304007767,17.1603916381583
2004,2.92439530376553,3.17282366453804,0.235055922844782,0.252555136065332,23.6844627492655,20.3961432823468
2005,2.79977566043478,3.04902066326087,0.223315174542788,0.251448061461307,25.2574288333371,21.9538762235154
2006,4.14817162041149,4.47208457290761,0.358127626602891,0.359567222818503,13.6379017106708,11.8531694830387
2007,3.20590431824534,3.52521000543478,0.366777720848988,0.372711207617605,25.1612962887925,21.0523022835333
2008,3.77675349270186,4.0693940048913,0.396336255575727,0.39842943487542,18.9529955589889,16.7388080170775
2009,3.54807393097826,3.79301854592391,0.334241989011712,0.347543190937651,16.3951472817564,14.4018125138289
2010,3.05056974386646,3.29165631413043,0.394653835704364,0.397021872400018,23.662404836339,20.8593523032746
2011,5.45859246074534,5.87902266923913,0.430169428179264,0.445268158699364,13.172347460419,11.423736406784
2012,4.74259183928571,5.18018988858696,0.392196598715437,0.409870392418271,14.8853853347002,12.8006846349203
2013,3.30197831499224,3.63015655225543,0.381922246851714,0.394620869107381,22.2162023963285,18.649589054168
2014,4.01266237573137,4.35648996200543,0.371877423273954,0.388498530570471,17.737553397699,15.229152079141
2015,2.66792915814596,2.9193191077663,0.412574753142061,0.420391434452074,30.6929661196236,25.9529481570175
2016,3.38822358656832,3.67674186467391,0.357108339674951,0.376018482390391,20.3074456809712,17.2711420867915
2017,5.36955567820342,5.76853399304891,0.503268357151197,0.517946725357598,11.8886885855144,10.2317799304455
2018,4.16022892426165,4.51263066948913,0.462888448417929,0.478758527163141,15.057610891556,12.8193358146161
